sample,prediction,p_left_raw,p_right_raw,name,mean_left,mean_right,n_preds
22335,left_hand,0.8873395323753357,0.11266043037176132,MediaProbabilidades,0.9496585845947265,0.05034140534698963,5
22399,left_hand,0.8324437141418457,0.16755622625350952,MediaProbabilidades,0.9238088011741639,0.07619116492569447,5
22463,left_hand,0.8000763654708862,0.19992364943027496,MediaProbabilidades,0.8881505131721497,0.11184945069253445,5
22527,left_hand,0.9104700088500977,0.08952997624874115,MediaProbabilidades,0.8752656698226928,0.12473430186510086,5
22591,left_hand,0.9614930748939514,0.03850695490837097,MediaProbabilidades,0.8783645391464233,0.12163544744253159,5
22655,left_hand,0.9559317827224731,0.044068239629268646,MediaProbabilidades,0.8920829892158508,0.10791700929403306,5
22719,left_hand,0.9589526653289795,0.041047368198633194,MediaProbabilidades,0.9173847794532776,0.08261523768305779,5
22783,left_hand,0.9680711030960083,0.03192891553044319,MediaProbabilidades,0.950983726978302,0.04901629090309143,5
22847,left_hand,0.9748623967170715,0.0251376423984766,MediaProbabilidades,0.9638622045516968,0.036137824133038524,5
22911,left_hand,0.9784520268440247,0.021547948941588402,MediaProbabilidades,0.9672539949417114,0.032746022939682005,5
22975,left_hand,0.9870721697807312,0.012927858158946037,MediaProbabilidades,0.973482072353363,0.026517946645617484,5
23039,left_hand,0.982163667678833,0.017836304381489754,MediaProbabilidades,0.9781242728233337,0.021875733882188796,5
23103,left_hand,0.9804259538650513,0.01957407034933567,MediaProbabilidades,0.9805952429771423,0.019404764845967294,5
23167,left_hand,0.9902837872505188,0.00971619039773941,MediaProbabilidades,0.9836795210838318,0.016320474445819855,5
23231,left_hand,0.9952672719955444,0.004732754081487656,MediaProbabilidades,0.9870425701141358,0.012957435473799706,5
23295,left_hand,0.9952594637870789,0.004740540403872728,MediaProbabilidades,0.9886800289154053,0.011319971922785044,5
23359,left_hand,0.9937105178833008,0.006289454642683268,MediaProbabilidades,0.9909893989562988,0.009010601975023746,5
23423,left_hand,0.9916531443595886,0.00834681373089552,MediaProbabilidades,0.9932348370552063,0.006765150651335716,5
23487,left_hand,0.9938166737556458,0.00618326012045145,MediaProbabilidades,0.9939414143562317,0.006058564595878124,5
23551,left_hand,0.9910534024238586,0.008946601301431656,MediaProbabilidades,0.9930986404418946,0.006901334039866924,5
23615,left_hand,0.991497814655304,0.008502164855599403,MediaProbabilidades,0.9923463106155396,0.0076536589302122595,5
23679,left_hand,0.9783350825309753,0.021664954721927643,MediaProbabilidades,0.9892712235450745,0.010728758946061134,5
23743,left_hand,0.9802911281585693,0.019708890467882156,MediaProbabilidades,0.9869988203048706,0.013001174293458461,5
23807,left_hand,0.9752092957496643,0.024790748953819275,MediaProbabilidades,0.9832773447036743,0.016722672060132025,5
23871,left_hand,0.9733399748802185,0.026660054922103882,MediaProbabilidades,0.9797346591949463,0.020265362784266473,5
23935,left_hand,0.974100649356842,0.025899307802319527,MediaProbabilidades,0.976255226135254,0.023744791373610498,5
23999,left_hand,0.9760128855705261,0.023987093940377235,MediaProbabilidades,0.9757907867431641,0.024209219217300414,5
24063,left_hand,0.96893310546875,0.031066864728927612,MediaProbabilidades,0.9735191822052002,0.026480814069509508,5
24127,left_hand,0.9674211144447327,0.032578952610492706,MediaProbabilidades,0.9719615459442139,0.028038454800844194,5
24191,left_hand,0.9544379115104675,0.04556206986308098,MediaProbabilidades,0.9681811332702637,0.03181885778903961,5
24255,left_hand,0.9376533627510071,0.06234658509492874,MediaProbabilidades,0.9608916759490966,0.039108313247561456,5
24319,left_hand,0.9266029596328735,0.07339700311422348,MediaProbabilidades,0.9510096907615662,0.0489902950823307,5
24383,left_hand,0.9066295623779297,0.09337042272090912,MediaProbabilidades,0.9385489821434021,0.061451006680727005,5
24447,left_hand,0.8888676762580872,0.11113227903842926,MediaProbabilidades,0.922838294506073,0.07716167196631432,5
24511,left_hand,0.8238179683685303,0.17618206143379211,MediaProbabilidades,0.8967143058776855,0.10328567028045654,5
24575,left_hand,0.8976739048957825,0.1023261770606041,MediaProbabilidades,0.8887184143066407,0.11128158867359161,5
24639,left_hand,0.9090108275413513,0.09098915010690689,MediaProbabilidades,0.8851999878883362,0.1148000180721283,5
24703,left_hand,0.8546858429908752,0.14531418681144714,MediaProbabilidades,0.8748112440109252,0.1251887708902359,5
24767,left_hand,0.849139392375946,0.15086062252521515,MediaProbabilidades,0.866865587234497,0.13313443958759308,5
24831,left_hand,0.8999602794647217,0.1000397726893425,MediaProbabilidades,0.8820940494537354,0.11790598183870316,5
24895,left_hand,0.8021290898323059,0.1978708952665329,MediaProbabilidades,0.86298508644104,0.13701492547988892,5
