time,P8,O2,P4,C4,F8,F4,Oz,Cz,Fz,Pz,F3,O1,P7,C3,P3,F7,Accel_x,Accel_y,Accel_z,Digital,Battery
444258.9276585491,177065.21875,178612.484375,176171.015625,202593.078125,180499.828125,198374.140625,175372.109375,171537.21875,177635.03125,178710.71875,193911.4375,186215.015625,188288.53125,206429.546875,209746.796875,189644.609375,9.905696868896484,0.22947563230991364,0.03824593871831894,1.0,51.0
444258.931656346,177068.34375,178596.859375,176175.328125,202571.1875,180503.28125,198348.484375,175373.28125,171542.421875,177639.453125,178700.640625,193885.046875,186204.953125,188266.703125,206405.578125,209722.453125,189622.796875,9.905696868896484,0.22947563230991364,0.03824593871831894,1.0,51.0
444258.9356541431,177065.796875,178604.640625,176160.375,202576.15625,180485.3125,198352.0,175375.671875,171527.296875,177621.140625,178695.265625,193889.78125,186207.765625,188271.734375,206409.9375,209727.984375,189628.125,9.905696868896484,0.22947563230991364,0.03824593871831894,1.0,51.0
444258.9396519402,177060.734375,178624.828125,176148.25,202600.1875,180471.234375,198379.46875,175375.296875,171513.546875,177606.796875,178703.046875,193918.6875,186220.0,188296.578125,206436.65625,209756.09375,189653.09375,9.905696868896484,0.22947563230991364,0.03824593871831894,1.0,51.0
444258.94364973746,177060.03125,178630.890625,176156.25,202611.25,180481.078125,198394.078125,175374.5625,171521.0,177616.515625,178714.84375,193933.03125,186226.046875,188308.171875,206450.265625,209770.03125,189664.671875,9.905696868896484,0.22947563230991364,0.03824593871831894,1.0,51.0
444258.9476475347,177063.953125,178612.953125,176172.6875,202592.171875,180499.890625,198374.03125,175373.359375,171538.9375,177636.125,178711.65625,193910.9375,186216.484375,188289.09375,206430.6875,209750.015625,189645.28125,9.905696868896484,0.22947563230991364,0.03824593871831894,1.0,51.0
444258.9516453321,177066.796875,178595.890625,176175.125,202569.109375,180502.84375,198346.96875,175374.09375,171542.6875,177639.109375,178698.515625,193882.8125,186205.125,188265.71875,206404.671875,209725.0,189621.21875,9.905696868896484,0.22947563230991364,0.03824593871831894,1.0,51.0
444258.9556431296,177064.484375,178603.703125,176159.984375,202573.828125,180484.703125,198350.671875,175375.90625,171526.53125,177620.546875,178694.328125,193887.171875,186208.140625,188270.421875,206408.75,209730.609375,189625.609375,9.905696868896484,0.22947563230991364,0.03824593871831894,1.0,51.0
444258.95964092715,177060.15625,178624.96875,176148.953125,202598.78125,180471.96875,198378.921875,175375.59375,171513.59375,177606.921875,178703.046875,193916.640625,186221.34375,188296.0,206436.515625,209759.5,189651.15625,9.905696868896484,0.22947563230991364,0.03824593871831894,1.0,51.0
444258.96363872476,177058.6875,178629.078125,176154.875,202608.0,180480.140625,198391.53125,175372.546875,171519.984375,177614.90625,178711.9375,193928.90625,186225.234375,188305.6875,206448.421875,209771.484375,189660.875,9.905696868896484,0.22947563230991364,0.03824593871831894,1.0,51.0
